Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Pass_Ast,Pass_xAG,Pass_xA,Pass_KP,Pass_1/3,Pass_PPA,Pass_CrsPA,Pass_PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Defend_Int,Defend_Tkl+Int,Defend_Clr,Defend_Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2023-08-11,20:00 (03:00),Matchweek 1,Fri,Away,W,3,0,Burnley,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,1.9,0.12,+1.1,+1.1,Manchester-City,1,0,1,100.0,1,0.0,0.0,0,0,0,0,12,22,54.5,68,5,29.4,31.5,7,28.6,28.9,7,1,14.3,1,18.8,655,740,88.5,10790,3194,325,339,95.9,252,277,91.0,51,84,60.7,2,1.3,1.3,14,42,10,2,28,740,703,36,10,7,1,15,13,5,0,4,0,655,1,7,29,20,3,1,2,3,0,5,4,0,0,1,0,0,17,12,10,5,2,12,15,80.0,3,9,2,7,4,21,7,2,65,835,75,267,412,158,23,835,10,3,30.0,3,30.0,558,2724,1240,12,13,3,9,9,632,28,0,0,0,8,11,1,15,4,12,0,0,0,54,13,13,50.0
2023-08-19,20:00 (03:00),Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1,14,4,28.6,0.07,0.25,17.9,0,0,0,1.0,1.0,0.07,0.0,0.0,Manchester-City,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,7,15,46.7,46,3,26.1,31.3,4,75.0,55.3,1,1,100.0,3,20.1,632,714,88.5,10155,2989,343,366,93.7,234,263,89.0,38,58,65.5,1,1.0,0.8,13,29,7,0,42,714,671,42,15,4,4,7,19,3,1,0,0,632,1,4,27,24,1,1,1,0,0,2,2,0,0,0,0,0,11,7,4,6,1,4,9,44.4,5,9,3,6,4,15,10,1,59,788,65,212,411,174,21,788,19,14,73.7,5,26.3,434,2418,1223,25,16,9,11,5,627,42,1,0,0,13,11,1,7,4,7,0,0,0,54,3,6,33.3
2023-08-27,14:00 (21:00),Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,2,29,9,31.0,0.07,0.22,17.3,2,0,1,3.5,2.8,0.10,-1.5,-0.8,Manchester-City,1,1,0,0.0,0,0.4,-0.6,0,0,0,0,2,7,28.6,27,3,18.5,28.5,6,33.3,39.3,2,0,0.0,1,23.0,707,793,89.2,12243,3342,311,326,95.4,326,352,92.6,55,81,67.9,2,2.5,2.7,25,50,23,3,75,793,752,39,8,3,4,35,11,12,6,2,0,707,2,9,58,52,1,1,2,2,0,4,3,0,0,1,0,0,12,8,4,7,1,7,13,53.8,6,10,1,9,4,16,6,0,79,893,40,153,440,304,53,892,17,9,52.9,6,35.3,676,3919,2285,42,40,10,13,5,700,73,0,0,0,2,9,2,35,4,8,0,0,0,53,12,5,70.6
2023-09-02,15:00 (22:00),Matchweek 4,Sat,Home,W,5,1,Fulham,5,6,4,66.7,0.67,1.00,14.8,0,1,1,2.2,1.4,0.25,+2.8,+2.6,Manchester-City,4,1,3,75.0,0,1.7,+0.7,0,0,0,0,3,8,37.5,41,2,19.5,28.0,4,0.0,23.8,8,0,0.0,1,33.0,681,766,88.9,11763,3078,305,329,92.7,288,311,92.6,65,90,72.2,3,0.9,0.6,5,39,8,1,38,766,722,43,12,4,3,9,21,4,0,3,0,681,1,11,13,9,1,1,1,1,0,9,5,1,1,1,1,0,17,10,7,8,2,6,10,60.0,4,2,0,2,8,25,11,0,68,838,64,222,483,138,20,837,17,12,70.6,4,23.5,524,2539,1472,18,10,3,9,7,673,38,2,0,0,12,11,1,9,8,10,1,0,0,46,8,6,57.1
2023-09-16,15:00 (22:00),Matchweek 5,Sat,Away,W,3,1,West Ham,3,29,13,44.8,0.10,0.23,16.4,1,0,0,3.6,3.6,0.13,-0.6,-0.6,Manchester-City,3,1,2,66.7,0,1.3,+0.3,0,0,0,0,2,5,40.0,29,5,17.2,26.3,2,0.0,15.0,8,0,0.0,0,11.5,676,747,90.5,10979,2860,337,359,93.9,280,301,93.0,47,63,74.6,3,3.3,3.5,24,60,18,3,75,747,712,35,7,4,2,25,13,11,0,6,0,676,0,10,55,45,1,2,5,1,1,6,6,0,0,0,0,0,11,7,5,5,1,5,9,55.6,4,7,1,6,7,18,9,0,68,837,49,148,382,311,49,837,15,7,46.7,7,46.7,678,3574,2229,53,27,15,9,7,670,74,2,0,0,11,7,0,25,7,7,0,0,0,43,8,12,40.0
2023-09-23,15:00 (22:00),Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,2,7,4,57.1,0.29,0.50,17.2,2,0,0,1.3,1.3,0.19,+0.7,+0.7,Manchester-City,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,7,19,36.8,30,3,36.7,37.9,8,100.0,71.9,13,3,23.1,1,11.0,525,599,87.6,8966,2736,259,275,94.2,211,230,91.7,41,71,57.7,2,1.1,1.1,5,62,5,0,31,599,551,48,18,3,3,11,15,6,2,2,0,525,0,5,14,10,1,1,0,2,0,4,4,0,0,0,0,0,8,6,3,5,0,2,6,33.3,4,10,4,6,6,14,22,1,57,689,65,152,362,179,13,689,20,8,40.0,10,50.0,439,2009,992,11,16,2,16,8,519,31,3,1,0,5,17,0,11,6,6,0,0,0,42,7,7,50.0
2023-09-30,15:00 (22:00),Matchweek 7,Sat,Away,L,1,2,Wolves,1,23,8,34.8,0.04,0.13,19.3,1,0,0,0.9,0.9,0.04,+0.1,+0.1,Manchester-City,1,2,0,-100.0,0,0.8,-0.2,0,0,0,0,0,1,0.0,15,2,6.7,21.3,3,0.0,22.3,5,0,0.0,0,9.0,557,645,86.4,8910,2052,285,305,93.4,232,258,89.9,28,45,62.2,0,0.6,1.3,17,67,14,2,68,645,589,56,19,4,3,21,25,6,0,4,0,557,0,14,41,27,4,0,5,5,0,2,1,0,0,0,1,0,15,6,7,3,5,7,16,43.8,9,7,2,5,4,19,7,0,68,732,24,116,294,324,39,732,18,12,66.7,5,27.8,488,3300,2259,41,36,10,12,7,552,68,4,0,0,12,18,0,21,4,6,0,0,1,37,2,5,28.6
2023-10-08,16:30 (23:30),Matchweek 8,Sun,Away,L,0,1,Arsenal,0,4,0,0.0,0.00,,14.9,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Manchester-City,2,1,1,50.0,0,0.2,-0.8,0,0,0,0,5,12,41.7,48,5,20.8,33.3,5,40.0,35.8,10,1,10.0,0,8.3,468,549,85.2,7781,2418,225,247,91.1,193,208,92.8,34,60,56.7,0,0.5,0.6,4,24,5,0,28,549,515,34,10,1,2,10,13,4,4,0,0,468,0,14,7,6,1,0,0,0,0,0,0,0,0,0,0,0,22,12,12,4,6,11,18,61.1,7,10,3,7,5,27,16,0,51,638,72,229,311,103,14,638,20,8,40.0,10,50.0,391,1764,1061,14,13,2,12,10,460,27,3,0,0,7,8,0,10,5,12,0,0,0,43,8,5,61.5
2023-10-21,15:00 (22:00),Matchweek 9,Sat,Home,W,2,1,Brighton,2,10,5,50.0,0.20,0.40,18.8,1,0,0,0.8,0.8,0.08,+1.2,+1.2,Manchester-City,3,1,2,66.7,0,1.0,0.0,0,0,0,0,5,19,26.3,57,2,31.6,30.9,4,25.0,23.8,7,1,14.3,1,11.3,561,636,88.2,9889,2778,235,246,95.5,268,289,92.7,48,73,65.8,1,0.6,0.4,7,47,6,0,38,636,602,32,11,0,2,10,13,2,0,2,0,561,2,10,17,13,0,3,0,1,0,2,1,0,1,0,0,0,14,7,3,8,3,5,12,41.7,7,11,0,11,10,24,10,0,55,721,58,193,339,194,21,721,17,10,58.8,5,29.4,419,2089,1086,25,14,11,11,5,555,37,4,1,1,9,11,2,10,10,7,0,0,0,39,6,6,50.0
2023-10-29,15:30 (23:30),Matchweek 10,Sun,Away,W,3,0,Manchester Utd,3,20,9,45.0,0.10,0.22,17.2,2,1,1,4.0,3.2,0.16,-1.0,-1.2,Manchester-City,3,0,3,100.0,1,0.2,+0.2,0,0,0,0,6,14,42.9,38,3,31.6,31.3,5,40.0,35.2,12,0,0.0,0,12.5,557,639,87.2,9421,2794,281,303,92.7,207,230,90.0,56,82,68.3,2,2.9,2.6,14,31,18,2,59,639,599,40,10,3,4,19,12,12,4,4,0,557,0,4,40,33,1,0,2,4,0,6,3,0,0,1,2,0,12,9,10,2,0,4,8,50.0,4,8,1,7,12,24,11,2,60,734,53,161,324,256,39,733,18,12,66.7,4,22.2,419,2773,1403,31,28,7,13,10,553,59,1,0,0,5,9,0,19,12,9,1,0,0,45,10,7,58.8
