Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Pass_Ast,Pass_xAG,Pass_xA,Pass_KP,Pass_1/3,Pass_PPA,Pass_CrsPA,Pass_PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Defend_Int,Defend_Tkl+Int,Defend_Clr,Defend_Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2023-08-19,20:45 (02:45),Matchweek 1,Sat,Home,W,2,0,Monza,2,22,3,13.6,0.09,0.67,17.2,1,0,0,2.7,2.7,0.12,-0.7,-0.7,Internazionale,2,0,2,100.0,1,0.2,0.2,0,0,0,0,5,7,71.4,26,4,23.1,27.2,8,12.5,28.8,10,1,10.0,0,6.5,448,509,88.0,7722,2716,226,245,92.2,144,159,90.6,58,78,74.4,2,2.4,1.9,19,41,9,3,46,509,470,38,12,5,14,21,9,8,1,5,0,448,1,6,40,30,5,0,2,2,1,4,4,0,0,0,0,0,17,13,12,4,1,10,16,62.5,6,11,4,7,9,26,14,0,47.0,604,58,151,266,195,35,604,17,6,35.3,8,47.1,377,1904,1090,23,12,7,5,5,441,45,1,0,0,8,13,1,21,9,13,0,0,0,40,9,6,60.0
2023-08-28,20:45 (02:45),Matchweek 2,Mon,Away,W,2,0,Cagliari,2,17,3,17.6,0.12,0.67,15.9,0,0,0,0.9,0.9,0.05,1.1,1.1,Internazionale,2,0,2,100.0,1,0.9,0.9,0,0,0,0,5,10,50.0,29,7,27.6,30.6,10,20.0,29.0,15,0,0.0,0,8.0,616,730,84.4,10857,3487,257,277,92.8,277,311,89.1,55,98,56.1,2,0.6,1.3,10,49,18,5,64,730,685,43,10,4,7,28,15,7,1,6,0,616,2,7,29,26,1,0,1,1,0,3,3,0,0,0,0,0,25,16,12,8,5,13,21,61.9,8,12,6,6,2,27,20,0,67.0,845,62,257,389,205,40,845,9,2,22.2,6,66.7,592,2748,1448,26,26,6,13,6,614,64,1,0,0,10,9,2,28,2,16,0,0,0,63,16,11,59.3
2023-09-03,18:30 (00:30),Matchweek 3,Sun,Home,W,4,0,Fiorentina,4,20,10,50.0,0.15,0.3,14.5,1,1,1,3.7,2.9,0.15,0.3,0.1,Internazionale,2,0,2,100.0,1,0.1,0.1,0,0,0,0,9,15,60.0,26,1,50.0,36.4,3,66.7,43.3,10,0,0.0,0,,303,371,81.7,5579,2089,130,148,87.8,130,149,87.2,33,53,62.3,3,2.5,2.2,15,19,11,4,36,371,342,29,11,1,8,9,13,1,0,1,0,303,0,4,39,27,3,1,4,3,1,8,5,0,0,1,1,1,19,9,10,7,2,12,22,54.5,10,10,2,8,9,28,12,0,40.0,468,52,149,223,102,25,467,5,2,40.0,1,20.0,273,1336,687,13,7,4,12,2,299,36,1,0,0,13,11,0,9,9,9,1,0,0,53,11,7,61.1
2023-09-16,18:00 (00:00),Matchweek 4,Sat,Home,W,5,1,Milan,5,13,6,46.2,0.31,0.67,15.2,1,1,1,2.6,1.8,0.14,2.4,2.2,Internazionale,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,5,9,55.6,31,7,25.8,29.4,9,11.1,20.9,6,1,16.7,0,5.0,305,377,80.9,5601,2314,128,143,89.5,120,136,88.2,40,65,61.5,4,1.7,1.3,10,24,6,3,27,377,330,45,13,1,7,12,16,5,3,1,0,305,2,10,25,17,3,0,1,2,2,8,7,0,0,0,1,0,12,7,4,8,0,5,11,45.5,6,7,3,4,5,17,10,0,41.0,464,67,172,190,105,20,463,8,2,25.0,4,50.0,307,1370,648,12,9,5,10,4,303,27,2,0,0,16,12,2,12,5,7,1,0,0,31,8,6,57.1
2023-09-24,12:30 (18:30),Matchweek 5,Sun,Away,W,1,0,Empoli,1,23,5,21.7,0.04,0.2,16.8,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Internazionale,1,0,1,100.0,1,0.4,0.4,0,0,0,0,3,6,50.0,32,4,15.6,25.4,4,25.0,25.5,9,1,11.1,1,10.7,517,621,83.3,8961,3123,245,269,91.1,198,227,87.2,56,83,67.5,0,1.5,1.6,20,28,17,6,40,621,561,59,15,2,9,31,33,6,4,0,0,517,1,16,41,37,1,0,3,0,0,1,0,0,0,1,0,0,14,8,4,9,1,6,10,60.0,4,12,2,10,11,25,5,0,61.0,707,53,212,273,225,36,707,16,9,56.3,7,43.8,493,2161,1015,24,23,6,7,7,512,40,2,0,0,11,14,1,31,11,8,0,0,0,49,14,4,77.8
2023-09-27,20:45 (02:45),Matchweek 6,Wed,Home,L,1,2,Sassuolo,1,13,3,23.1,0.08,0.33,15.2,0,0,0,0.9,0.9,0.07,0.1,0.1,Internazionale,6,2,4,66.7,0,0.9,-1.1,0,0,0,0,4,11,36.4,32,3,31.3,29.8,6,16.7,24.0,9,2,22.2,1,11.9,529,640,82.7,9387,3370,237,260,91.2,210,234,89.7,57,101,56.4,1,0.8,1.1,10,47,16,4,51,640,579,58,12,1,5,32,29,8,0,7,0,529,3,9,24,20,2,2,0,0,0,2,1,0,1,0,0,0,15,8,8,7,0,3,12,25.0,9,4,2,2,13,28,7,1,63.0,725,52,215,327,186,35,725,12,9,75.0,3,25.0,398,2182,1175,23,13,6,16,5,526,51,0,0,0,10,8,3,32,13,8,0,0,0,42,19,12,61.3
2023-09-30,20:45 (02:45),Matchweek 7,Sat,Away,W,4,0,Salernitana,4,15,5,33.3,0.2,0.6,16.8,1,1,1,2.3,1.6,0.1,1.7,1.4,Internazionale,3,0,3,100.0,1,0.2,0.2,0,0,0,0,6,8,75.0,26,3,26.9,28.6,8,12.5,18.3,6,0,0.0,0,16.0,534,628,85.0,9000,3159,265,291,91.1,213,246,86.6,46,66,69.7,3,1.4,2.0,12,24,15,4,44,628,585,42,11,1,2,21,19,3,1,2,0,534,1,7,29,24,1,0,1,2,1,8,7,0,0,0,1,0,12,6,6,5,1,3,11,27.3,8,14,5,9,8,20,11,0,64.0,735,64,226,360,154,44,734,21,10,47.6,6,28.6,295,1581,780,22,14,6,18,5,526,44,1,0,0,10,12,1,21,8,6,1,0,0,46,31,11,73.8
2023-10-07,15:00 (21:00),Matchweek 8,Sat,Home,D,2,2,Bologna,2,14,5,35.7,0.14,0.4,18.3,1,0,0,0.7,0.7,0.05,1.3,1.3,Internazionale,3,2,1,66.7,0,1.5,-0.5,1,1,0,0,3,5,60.0,22,0,22.7,23.6,4,0.0,9.0,9,0,0.0,3,19.4,552,661,83.5,8510,2753,296,322,91.9,192,231,83.1,35,57,61.4,2,0.5,0.8,8,34,12,4,40,661,608,51,9,1,3,31,28,7,5,0,0,552,2,14,21,13,4,0,1,2,1,4,3,1,0,0,0,0,13,5,3,8,2,7,9,77.8,2,10,2,8,12,25,10,0,63.0,760,41,188,376,198,29,760,14,7,50.0,6,42.9,481,2235,1007,23,13,5,11,9,546,39,2,0,0,11,9,2,31,12,5,0,1,0,55,20,14,58.8
2023-10-21,18:00 (00:00),Matchweek 9,Sat,Away,W,3,0,Torino,3,13,3,23.1,0.15,0.67,17.1,1,1,1,2.5,1.7,0.13,0.5,0.3,Internazionale,3,0,3,100.0,1,0.7,0.7,0,0,0,0,4,9,44.4,32,8,21.9,27.9,10,30.0,26.3,17,0,0.0,1,13.3,410,492,83.3,6868,2491,195,217,89.9,168,196,85.7,38,62,61.3,2,1.7,1.0,11,20,5,2,27,492,448,44,12,3,1,11,17,4,2,2,0,410,0,5,25,18,3,0,1,3,0,6,4,1,0,0,1,0,13,8,3,10,0,3,11,27.3,8,7,2,5,6,19,20,0,53.0,589,84,226,251,116,26,588,11,2,18.2,7,63.6,341,1680,777,17,17,7,16,7,405,27,2,0,0,8,12,0,11,6,8,1,0,0,39,19,8,70.4
2023-10-29,18:00 (01:00),Matchweek 10,Sun,Home,W,1,0,Roma,1,19,3,15.8,0.05,0.33,16.0,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Internazionale,1,0,1,100.0,1,0.4,0.4,0,0,0,0,0,2,0.0,18,4,0.0,18.4,2,100.0,62.0,6,0,0.0,0,13.0,533,633,84.2,9200,2748,252,281,89.7,210,238,88.2,54,82,65.9,1,1.9,1.8,13,55,15,7,58,633,590,42,10,1,3,35,21,8,5,1,0,533,1,8,33,25,3,3,2,0,0,2,2,0,0,0,0,0,17,11,4,9,4,4,7,57.1,3,6,1,5,7,24,8,0,63.0,718,28,142,315,265,30,718,18,11,61.1,4,22.2,487,2341,1280,27,24,6,10,7,529,58,3,0,0,14,9,1,35,7,11,0,0,0,52,12,15,44.4
